WKT;GID;ID_HOJA;TIPO;CONTEXTO;COTA
"MULTIPOINT ((439609.84 4106593.33))";"891239";"102632";TER;CGN;777.74
"MULTIPOINT ((439243.72 4106625.99))";"891240";"102632";TER;CGN;778.82
"MULTIPOINT ((439301.54 4106524.04))";"891241";"102632";TER;CGN;788.80
"MULTIPOINT ((439135.57 4106596.98))";"891242";"102632";TER;CGN;804.69
"MULTIPOINT ((438978.34 4106790.41))";"891243";"102632";TER;CGN;832.71
"MULTIPOINT ((439109.32 4108134.15))";"891244";"102632";TER;CGN;814.68
"MULTIPOINT ((439119.84 4108414.39))";"891245";"102632";TER;CGN;794.51
"MULTIPOINT ((439821.58 4108775.57))";"891246";"102632";TER;CGN;755.60
"MULTIPOINT ((440078.06 4108887.89))";"891247";"102632";TER;CGN;745.29
"MULTIPOINT ((440149.36 4108603.06))";"891248";"102632";TER;CGN;754.86
"MULTIPOINT ((439871.33 4108099.97))";"891249";"102632";TER;CGN;778.85
"MULTIPOINT ((440078.29 4108110.34))";"891250";"102632";TER;CGN;796.86
"MULTIPOINT ((440086.46 4107717.52))";"891251";"102632";TER;CGN;743.13
"MULTIPOINT ((439887.19 4107622.82))";"891252";"102632";TER;CGN;748.06
"MULTIPOINT ((439899.1 4107120.8))";"891253";"102632";TER;CGN;743.73
"MULTIPOINT ((440152.29 4107054.41))";"891254";"102632";TER;CGN;736.42
"MULTIPOINT ((440046.35 4107376.22))";"891255";"102632";TER;CGN;747.87
"MULTIPOINT ((439460.61 4107040.25))";"891256";"102632";TER;CGN;777.62
"MULTIPOINT ((439500.33 4106765.51))";"891257";"102632";TER;CGN;765.25
"MULTIPOINT ((439255.61 4106878.74))";"891258";"102632";TER;CGN;789.37
"MULTIPOINT ((439513.91 4107549.64))";"891259";"102632";TER;CGN;766.96
"MULTIPOINT ((439135.9 4107764.46))";"891260";"102632";TER;CGN;815.72
"MULTIPOINT ((439722.1 4107847.98))";"891261";"102632";TER;CGN;768.58
"MULTIPOINT ((440209.67 4107855.02))";"891262";"102632";TER;CGN;736.10
"MULTIPOINT ((439633.4 4108039.3))";"891263";"102632";TER;CIM;809.95
"MULTIPOINT ((439515.52 4107830.24))";"891264";"102632";TER;COL;785.55
"MULTIPOINT ((439725.87 4108472.34))";"891265";"102632";TER;CGN;774.46
"MULTIPOINT ((439427.32 4108504.97))";"891266";"102632";TER;CGN;778.36
"MULTIPOINT ((440176.42 4104490.89))";"891267";"102632";TER;CGN;802.31
"MULTIPOINT ((439049.66 4104565.17))";"891268";"102632";TER;CGN;785.31
"MULTIPOINT ((439363.63 4104604.22))";"891269";"102632";TER;CGN;765.28
"MULTIPOINT ((438954.83 4104930.33))";"891270";"102632";TER;CGN;758.46
"MULTIPOINT ((439972.3 4104507.87))";"891271";"102632";TER;CGN;795.03
"MULTIPOINT ((439743.42 4104613.88))";"891272";"102632";TER;CGN;789.25
"MULTIPOINT ((439547.84 4104853.52))";"891273";"102632";TER;CGN;798.44
"MULTIPOINT ((439140.56 4105021.39))";"891274";"102632";TER;CGN;790.77
"MULTIPOINT ((439258.29 4104990.32))";"891275";"102632";TER;CGN;789.49
"MULTIPOINT ((439260.94 4105246.13))";"891276";"102632";TER;CGN;765.73
