WKT;GID;ID_HOJA;TIPO;ESTADO
"POLYGON ((443195.66 4107208.29,443203.07 4107200.06,443192.7 4107190.73,443185.29 4107198.96,443195.66 4107208.29))";"760657";"102632";EDI;USO
"POLYGON ((441900.99 4106263.63,441895.83 4106273.6,441906.36 4106279.04,441911.51 4106269.07,441900.99 4106263.63))";"760667";"102632";EDI;USO
"POLYGON ((441927.84 4106266.63,441937.27 4106272.32,441946.22 4106257.5,441936.79 4106251.81,441927.84 4106266.63))";"760668";"102632";EDI;USO
"POLYGON ((441977.28 4106305.85,441971.72 4106293.82,441965.58 4106296.68,441971.14 4106308.71,441977.28 4106305.85))";"760669";"102632";EDI;USO
"POLYGON ((442643.33 4106712.43,442669.92 4106698.13,442693.09 4106685.98,442695.15 4106689.76,442706.94 4106683.32,442700.06 4106670.79,442695.09 4106673.41,442638.36 4106703.33,442643.33 4106712.43))";"760678";"102632";EDI;USO
"POLYGON ((444304.36 4104461.44,444294.21 4104474.89,444302.14 4104480.87,444312.29 4104467.42,444304.36 4104461.44))";"760679";"102632";EDI;USO
"POLYGON ((444325.71 4104370.89,444328.63 4104372.91,444333.09 4104376.0,444334.0 4104374.69,444337.64 4104377.21,444339.43 4104378.45,444344.26 4104374.97,444349.08 4104371.49,444343.14 4104365.03,444340.16 4104361.79,444337.35 4104362.83,444333.26 4104360.0,444329.49 4104365.44,444325.71 4104370.89))";"760681";"102632";EDI;USO
"POLYGON ((444374.7 4104373.01,444368.62 4104378.18,444364.95 4104373.88,444359.41 4104378.6,444363.57 4104383.48,444367.72 4104388.36,444371.03 4104385.54,444375.19 4104382.0,444379.34 4104378.46,444374.7 4104373.01))";"760682";"102632";EDI;USO
"POLYGON ((444404.08 4104364.91,444415.03 4104356.27,444409.56 4104349.33,444398.61 4104357.98,444404.08 4104364.91))";"760683";"102632";EDI;USO
"POLYGON ((441255.59 4106728.77,441245.85 4106726.77,441243.09 4106740.4,441252.83 4106742.4,441255.59 4106728.77))";"760708";"102632";EDI;USO
"POLYGON ((446156.45 4106393.25,446165.65 4106384.45,446156.83 4106375.23,446147.63 4106384.03,446156.45 4106393.25))";"760711";"102632";EDI;USO
"POLYGON ((443590.06 4106489.03,443596.3 4106487.55,443594.51 4106479.97,443588.27 4106481.44,443590.06 4106489.03))";"760777";"102632";EDI;USO
"POLYGON ((441271.47 4106545.2,441262.95 4106543.43,441260.28 4106555.94,441268.8 4106557.71,441271.47 4106545.2))";"760785";"102632";EDI;USO
"POLYGON ((441272.27 4106656.12,441262.52 4106654.15,441259.77 4106667.77,441269.52 4106669.74,441272.27 4106656.12))";"760786";"102632";EDI;USO
"POLYGON ((441240.24 4106649.46,441237.49 4106663.09,441247.24 4106665.06,441249.99 4106651.43,441240.24 4106649.46))";"760787";"102632";EDI;USO
"POLYGON ((441267.02 4106679.35,441257.28 4106677.35,441254.52 4106690.98,441264.26 4106692.98,441267.02 4106679.35))";"760790";"102632";EDI;USO
"POLYGON ((442416.96 4107358.48,442425.41 4107366.32,442442.2 4107353.06,442433.87 4107345.33,442416.96 4107358.48))";"760793";"102632";EDI;USO
"POLYGON ((442034.24 4105985.0,442026.26 4105984.56,442025.3 4106002.11,442033.28 4106002.55,442034.24 4105985.0))";"760799";"102632";EDI;USO
"POLYGON ((442055.52 4105983.97,442054.27 4105999.94,442060.02 4106000.39,442061.27 4105984.42,442055.52 4105983.97))";"760800";"102632";EDI;USO
