GID;ID_HOJA;TIPO;ESTADO
"819985";"102632";EDI;USO
"819986";"102632";EDI;USO
"819987";"102632";EDI;USO
"819988";"102632";EDI;USO
"819989";"102632";EDI;USO
"819990";"102632";EDI;USO
"819991";"102632";EDI;USO
"819992";"102632";EDI;USO
"819993";"102632";EDI;USO
"819994";"102632";EDI;USO
"819995";"102632";EDI;USO
"819996";"102632";EDI;USO
"819997";"102632";EDI;USO
"819998";"102632";EDI;USO
"819999";"102632";EDI;USO
"820000";"102632";EDI;USO
"820001";"102632";EDI;USO
"820002";"102632";EDI;USO
"820003";"102632";EDI;USO
"820004";"102632";EDI;USO
"820005";"102632";EDI;USO
"820006";"102632";EDI;USO
"820007";"102632";EDI;USO
"820008";"102632";EDI;USO
"820009";"102632";EDI;USO
"820011";"102632";EDI;USO
"820012";"102632";EDI;USO
"820013";"102632";EDI;USO
"820014";"102632";EDI;USO
"820015";"102632";EDI;USO
"820016";"102632";EDI;USO
"820017";"102632";EDI;USO
"820018";"102632";EDI;USO
"820019";"102632";EDI;USO
"820020";"102632";EDI;USO
"820021";"102632";EDI;USO
"820022";"102632";EDI;USO
"820023";"102632";EDI;USO
"820024";"102632";EDI;USO
"820025";"102632";EDI;USO
"820027";"102632";EDI;USO
"820028";"102632";EDI;USO
"820029";"102632";EDI;USO
"820030";"102632";EDI;USO
"820031";"102632";EDI;USO
"820032";"102632";EDI;USO
"820033";"102632";EDI;USO
"820034";"102632";EDI;USO
"820035";"102632";EDI;USO
"820036";"102632";EDI;USO
"820037";"102632";EDI;USO
"820038";"102632";EDI;USO
"820039";"102632";EDI;USO
"820040";"102632";EDI;USO
"820041";"102632";EDI;USO
"820042";"102632";EDI;USO
"820043";"102632";EDI;USO
"820044";"102632";EDI;USO
"820045";"102632";EDI;USO
"820046";"102632";EDI;USO
"820047";"102632";EDI;USO
"820048";"102632";EDI;USO
"820049";"102632";EDI;USO
"820050";"102632";EDI;USO
"820051";"102632";EDI;USO
"820052";"102632";EDI;USO
"820053";"102632";EDI;USO
"820054";"102632";EDI;USO
"820055";"102632";EDI;USO
"820056";"102632";EDI;USO
"820057";"102632";EDI;USO
"820059";"102632";EDI;USO
"820060";"102632";EDI;USO
"820061";"102632";EDI;USO
"820062";"102632";EDI;USO
"820063";"102632";EDI;USO
"820064";"102632";EDI;USO
"820065";"102632";EDI;USO
"820066";"102632";EDI;USO
"820067";"102632";EDI;USO
"820068";"102632";EDI;USO
"820069";"102632";EDI;USO
"820070";"102632";EDI;USO
"820071";"102632";EDI;USO
"820072";"102632";EDI;USO
"820073";"102632";EDI;USO
"820074";"102632";EDI;USO
"820075";"102632";EDI;USO
"820076";"102632";EDI;USO
"820077";"102632";EDI;USO
"820078";"102632";EDI;USO
"820080";"102632";EDI;USO
"820082";"102632";EDI;USO
"820083";"102632";EDI;USO
"820084";"102632";EDI;USO
"820085";"102632";EDI;USO
"820086";"102632";EDI;USO
"820087";"102632";EDI;USO
"820088";"102632";EDI;USO
"820089";"102632";EDI;USO
"820090";"102632";EDI;USO
"820091";"102632";EDI;USO
"820092";"102632";EDI;USO
"820093";"102632";EDI;USO
"820094";"102632";EDI;USO
"820095";"102632";EDI;USO
"820096";"102632";EDI;USO
"820097";"102632";EDI;USO
"820098";"102632";EDI;USO
"820099";"102632";EDI;USO
"820100";"102632";EDI;USO
"820101";"102632";EDI;USO
"820102";"102632";EDI;USO
"820103";"102632";EDI;USO
"820104";"102632";EDI;USO
"820105";"102632";EDI;USO
"820106";"102632";EDI;USO
"820107";"102632";EDI;USO
"820108";"102632";EDI;USO
"820109";"102632";EDI;USO
"820110";"102632";EDI;USO
"820111";"102632";EDI;USO
"820112";"102632";EDI;USO
"820113";"102632";EDI;USO
"820114";"102632";EDI;USO
"820115";"102632";EDI;USO
"820116";"102632";EDI;USO
"820117";"102632";EDI;USO
"820118";"102632";EDI;USO
"820119";"102632";EDI;USO
"820120";"102632";EDI;USO
"820121";"102632";EDI;USO
"820122";"102632";EDI;USO
"820123";"102632";EDI;USO
"820124";"102632";EDI;USO
"820125";"102632";EDI;USO
"820126";"102632";EDI;USO
"820127";"102632";EDI;USO
"820128";"102632";EDI;USO
"820129";"102632";EDI;USO
"820130";"102632";EDI;USO
"820131";"102632";EDI;USO
"820132";"102632";EDI;USO
"820133";"102632";EDI;USO
"820134";"102632";EDI;USO
"820135";"102632";EDI;USO
"820136";"102632";EDI;USO
"820137";"102632";EDI;USO
"820138";"102632";EDI;USO
"820139";"102632";EDI;USO
"820140";"102632";EDI;USO
"820142";"102632";EDI;USO
"820143";"102632";EDI;USO
"820144";"102632";EDI;USO
"820145";"102632";EDI;USO
"820146";"102632";EDI;USO
"820147";"102632";EDI;USO
"820148";"102632";EDI;USO
"820149";"102632";EDI;USO
"820150";"102632";EDI;USO
"820151";"102632";EDI;USO
"820152";"102632";EDI;USO
"820153";"102632";EDI;USO
"820154";"102632";EDI;USO
"820155";"102632";EDI;USO
"820156";"102632";EDI;USO
"820157";"102632";EDI;USO
"820158";"102632";EDI;USO
"820159";"102632";EDI;USO
"820160";"102632";EDI;USO
"820161";"102632";EDI;USO
"820162";"102632";EDI;USO
"820163";"102632";EDI;USO
"820164";"102632";EDI;USO
"820165";"102632";EDI;USO
"820166";"102632";EDI;USO
"820167";"102632";EDI;USO
"820168";"102632";EDI;USO
"820169";"102632";EDI;USO
"820170";"102632";EDI;USO
"820171";"102632";EDI;USO
"820172";"102632";EDI;USO
"820173";"102632";EDI;USO
"820174";"102632";EDI;USO
"820175";"102632";EDI;USO
"820176";"102632";EDI;USO
"820177";"102632";EDI;USO
"820178";"102632";EDI;USO
"820179";"102632";EDI;USO
"820180";"102632";EDI;USO
"820181";"102632";EDI;USO
"820182";"102632";EDI;USO
"820183";"102632";EDI;USO
"820184";"102632";EDI;USO
"820185";"102632";EDI;USO
"820186";"102632";EDI;USO
"820187";"102632";EDI;USO
"820188";"102632";EDI;USO
"820189";"102632";EDI;USO
"820190";"102632";EDI;USO
"820191";"102632";EDI;USO
"820192";"102632";EDI;USO
"820193";"102632";EDI;USO
"820194";"102632";EDI;USO
"820195";"102632";EDI;USO
"820196";"102632";EDI;USO
"820197";"102632";EDI;USO
"820198";"102632";EDI;USO
"820199";"102632";EDI;USO
"820200";"102632";EDI;USO
"820201";"102632";EDI;USO
"820202";"102632";EDI;USO
"820203";"102632";EDI;USO
"820204";"102632";EDI;USO
"820205";"102632";EDI;USO
"820206";"102632";EDI;USO
"820207";"102632";EDI;USO
"820208";"102632";EDI;USO
"820209";"102632";EDI;USO
"820210";"102632";EDI;USO
"820211";"102632";EDI;USO
"820212";"102632";EDI;USO
"820213";"102632";EDI;USO
"820214";"102632";EDI;USO
"820215";"102632";EDI;USO
"820216";"102632";EDI;USO
"820217";"102632";EDI;USO
"820218";"102632";EDI;USO
"820219";"102632";EDI;USO
"820220";"102632";EDI;USO
"820221";"102632";EDI;USO
"820222";"102632";EDI;USO
"820223";"102632";EDI;USO
"820224";"102632";EDI;USO
"820225";"102632";EDI;USO
"820226";"102632";EDI;USO
"820227";"102632";EDI;USO
"820228";"102632";EDI;USO
"820229";"102632";EDI;USO
"820230";"102632";EDI;USO
"820231";"102632";EDI;USO
"820232";"102632";EDI;USO
"820233";"102632";EDI;USO
"820234";"102632";EDI;USO
"820235";"102632";EDI;USO
"820236";"102632";EDI;USO
"820237";"102632";EDI;USO
"820238";"102632";EDI;USO
"820239";"102632";EDI;USO
"820240";"102632";EDI;USO
"820241";"102632";EDI;USO
"820242";"102632";EDI;USO
"820243";"102632";EDI;USO
"820244";"102632";EDI;USO
"820245";"102632";EDI;USO
"820246";"102632";EDI;USO
"820247";"102632";EDI;USO
"820248";"102632";EDI;USO
"820249";"102632";EDI;USO
"820250";"102632";EDI;USO
"820251";"102632";EDI;USO
"820252";"102632";EDI;USO
"820253";"102632";EDI;USO
"820254";"102632";EDI;USO
"820255";"102632";EDI;USO
"820256";"102632";EDI;USO
"820257";"102632";EDI;USO
"820258";"102632";EDI;USO
"820259";"102632";EDI;USO
"820260";"102632";EDI;USO
"820261";"102632";EDI;USO
"820262";"102632";EDI;USO
"820263";"102632";EDI;USO
"820264";"102632";EDI;USO
"820265";"102632";EDI;USO
"820266";"102632";EDI;USO
"820267";"102632";EDI;USO
"820268";"102632";EDI;USO
"820269";"102632";EDI;USO
"820270";"102632";EDI;USO
"820271";"102632";EDI;USO
"820272";"102632";EDI;USO
"820274";"102632";EDI;USO
"820275";"102632";EDI;USO
"820276";"102632";EDI;USO
"820278";"102632";EDI;USO
"820279";"102632";EDI;USO
"820280";"102632";EDI;USO
"820281";"102632";EDI;USO
"820282";"102632";EDI;USO
"820283";"102632";EDI;USO
"820284";"102632";EDI;USO
"820285";"102632";EDI;USO
"820286";"102632";EDI;USO
"820287";"102632";EDI;USO
"820288";"102632";EDI;USO
"820289";"102632";EDI;USO
"820290";"102632";EDI;USO
"820291";"102632";EDI;USO
"820292";"102632";EDI;USO
"820293";"102632";EDI;USO
"820294";"102632";EDI;USO
"820295";"102632";EDI;USO
"820296";"102632";EDI;USO
"820297";"102632";EDI;USO
"820298";"102632";EDI;USO
"820299";"102632";EDI;USO
"820300";"102632";EDI;USO
"820301";"102632";EDI;USO
"820302";"102632";EDI;USO
"820303";"102632";EDI;USO
"820304";"102632";EDI;USO
"820305";"102632";EDI;USO
"820306";"102632";EDI;USO
"820307";"102632";EDI;USO
"820308";"102632";EDI;USO
"820309";"102632";EDI;USO
"820310";"102632";EDI;USO
"820311";"102632";EDI;USO
"820312";"102632";EDI;USO
"820313";"102632";EDI;USO
"820314";"102632";EDI;USO
"820315";"102632";EDI;USO
"820316";"102632";EDI;USO
"820317";"102632";EDI;USO
"820318";"102632";EDI;USO
"820319";"102632";EDI;USO
"820320";"102632";EDI;USO
"820321";"102632";EDI;USO
"820322";"102632";EDI;USO
"820323";"102632";EDI;USO
"820324";"102632";EDI;USO
"820325";"102632";EDI;USO
"820326";"102632";EDI;USO
"820327";"102632";EDI;USO
"820328";"102632";EDI;USO
"820329";"102632";EDI;USO
"820330";"102632";EDI;USO
"820331";"102632";EDI;USO
"820332";"102632";EDI;USO
"820333";"102632";EDI;USO
"820334";"102632";EDI;USO
"820335";"102632";EDI;USO
"820336";"102632";EDI;USO
"820337";"102632";EDI;USO
"820338";"102632";EDI;USO
"820339";"102632";EDI;USO
"820340";"102632";EDI;USO
"820341";"102632";EDI;USO
"820342";"102632";EDI;USO
"820343";"102632";EDI;USO
"820344";"102632";EDI;USO
"820345";"102632";EDI;USO
"820346";"102632";EDI;USO
"820347";"102632";EDI;USO
"820348";"102632";EDI;USO
"820349";"102632";EDI;USO
"820350";"102632";EDI;USO
"820351";"102632";EDI;USO
"820352";"102632";EDI;USO
"820353";"102632";EDI;USO
"820354";"102632";EDI;USO
"820355";"102632";EDI;USO
"820356";"102632";EDI;USO
"820357";"102632";EDI;USO
"820358";"102632";EDI;USO
"820359";"102632";EDI;USO
"820360";"102632";EDI;USO
"820361";"102632";EDI;USO
"820362";"102632";EDI;USO
"820363";"102632";EDI;USO
"820364";"102632";EDI;USO
"820365";"102632";EDI;USO
"820366";"102632";EDI;USO
"820367";"102632";EDI;USO
"820368";"102632";EDI;USO
"820369";"102632";EDI;USO
"820370";"102632";EDI;USO
